home_score,away_score,point_differential,total_points,close_game,week,season_progress,playoff,division_game,overtime,spread_line,underdog_game,favorite_won,home_wins,away_wins,record_differential,combined_wins,rivalry_games,rivalry_intensity,has_qb_data,indoor_game,has_weather,home_qb_length,home_qb_syllables,home_qb_vowel_ratio,home_qb_consonant_ratio,home_qb_prestige_score,away_qb_length,away_qb_syllables,away_qb_vowel_ratio,away_qb_consonant_ratio,away_qb_prestige_score,qb_prestige_diff,qb_name_length_diff,home_elite_brand,away_elite_brand,brand_matchup,underdog_intensity,game_closeness,overtime_drama,playoff_game,late_season,season_stakes,rivalry_score,division_rivalry,home_momentum,away_momentum,momentum_differential
36,16,20,52,0,1,0.0588235294117647,0,0,0,4.5,0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.3214285714285714,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
20,23,-3,43,1,1,0.0588235294117647,0,0,1,7.0,1,1,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.5,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
14,20,-6,34,1,1,0.0588235294117647,0,1,0,5.5,0,1,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.3928571428571428,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0
16,23,-7,39,1,1,0.0588235294117647,0,1,0,1.0,0,1,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0714285714285714,0.7666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0
30,27,3,57,1,1,0.0588235294117647,0,1,0,5.5,0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.3928571428571428,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0
31,24,7,55,1,1,0.0588235294117647,0,0,0,8.0,1,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5714285714285714,0.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
34,17,17,51,0,1,0.0588235294117647,0,0,0,10.0,1,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.7142857142857143,0.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
6,34,-28,40,0,1,0.0588235294117647,0,0,0,3.0,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2142857142857142,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
33,20,13,53,0,1,0.0588235294117647,0,1,0,-3.5,0,1,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.25,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0
37,34,3,71,1,1,0.0588235294117647,0,1,1,-3.0,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2142857142857142,0.9,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0
19,14,5,33,1,1,0.0588235294117647,0,0,0,6.5,0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.4642857142857143,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
17,28,-11,45,0,1,0.0588235294117647,0,0,0,-3.5,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.25,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
10,26,-16,36,0,1,0.0588235294117647,0,0,0,3.0,0,1,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.2142857142857142,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
17,6,11,23,0,1,0.0588235294117647,0,0,0,3.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2142857142857142,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
35,14,21,49,0,1,0.0588235294117647,0,0,0,6.5,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.4642857142857143,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
