home_score,away_score,point_differential,total_points,close_game,week,season_progress,playoff,division_game,overtime,spread_line,underdog_game,favorite_won,home_wins,away_wins,record_differential,combined_wins,rivalry_games,rivalry_intensity,has_qb_data,indoor_game,has_weather
36,16,20,52,0,1,0.058823529411764705,0,0,0,4.5,0,0,0,0,0,0,0,0.0,0,0,1
20,23,-3,43,1,1,0.058823529411764705,0,0,1,7.0,1,1,0,0,0,0,0,0.0,0,0,1
14,20,-6,34,1,1,0.058823529411764705,0,1,0,5.5,0,1,0,0,0,0,0,0.0,0,0,1
16,23,-7,39,1,1,0.058823529411764705,0,1,0,1.0,0,1,0,0,0,0,0,0.0,0,0,1
30,27,3,57,1,1,0.058823529411764705,0,1,0,5.5,0,0,0,0,0,0,0,0.0,0,0,1
31,24,7,55,1,1,0.058823529411764705,0,0,0,8.0,1,0,0,0,0,0,0,0.0,0,0,1
34,17,17,51,0,1,0.058823529411764705,0,0,0,10.0,1,0,0,0,0,0,0,0.0,0,0,1
6,34,-28,40,0,1,0.058823529411764705,0,0,0,3.0,0,1,0,0,0,0,0,0.0,0,1,0
33,20,13,53,0,1,0.058823529411764705,0,1,0,-3.5,0,1,0,0,0,0,0,0.0,0,0,1
37,34,3,71,1,1,0.058823529411764705,0,1,1,-3.0,0,1,0,0,0,0,0,0.0,0,1,0
19,14,5,33,1,1,0.058823529411764705,0,0,0,6.5,0,0,0,0,0,0,0,0.0,0,0,1
17,28,-11,45,0,1,0.058823529411764705,0,0,0,-3.5,0,0,0,0,0,0,0,0.0,0,1,0
10,26,-16,36,0,1,0.058823529411764705,0,0,0,3.0,0,1,0,0,0,0,0,0.0,0,0,1
17,6,11,23,0,1,0.058823529411764705,0,0,0,3.0,0,0,0,0,0,0,0,0.0,0,1,0
35,14,21,49,0,1,0.058823529411764705,0,0,0,6.5,0,0,0,0,0,0,0,0.0,0,1,0
18,17,1,35,1,1,0.058823529411764705,0,0,0,3.0,0,0,0,0,0,0,0,0.0,0,1,0
26,6,20,32,0,2,0.11764705882352941,0,1,0,2.5,0,0,0,1,-1,1,0,0.0,0,0,1
14,25,-11,39,0,2,0.11764705882352941,0,0,0,1.0,0,1,0,1,-1,1,0,0.0,0,0,1
24,10,14,34,0,2,0.11764705882352941,0,0,0,5.5,0,0,1,1,0,2,0,0.0,0,0,1
20,28,-8,48,0,2,0.11764705882352941,0,0,0,7.0,1,1,1,0,1,1,0,0.0,0,0,1
10,26,-16,36,0,2,0.11764705882352941,0,0,0,3.0,0,1,1,0,1,1,0,0.0,0,0,1
24,7,17,31,0,2,0.11764705882352941,0,0,0,1.0,0,0,1,1,0,2,0,0.0,0,0,1
14,30,-16,44,0,2,0.11764705882352941,0,0,0,-3.0,0,0,0,1,-1,1,0,0.0,0,0,1
41,10,31,51,0,2,0.11764705882352941,0,0,0,5.0,0,0,0,0,0,0,0,0.0,0,0,1
24,17,7,41,1,2,0.11764705882352941,0,1,0,13.0,1,0,1,0,1,1,0,0.0,0,0,1
29,10,19,39,0,2,0.11764705882352941,0,1,0,1.0,0,0,1,1,0,2,0,0.0,0,0,1
7,30,-23,37,0,2,0.11764705882352941,0,0,0,-3.5,0,0,1,0,1,1,0,0.0,0,0,1
26,24,2,50,1,2,0.11764705882352941,0,0,0,-4.5,0,1,0,0,0,0,0,0.0,0,0,1
31,24,7,55,1,2,0.11764705882352941,0,0,0,7.0,1,0,0,1,-1,1,0,0.0,0,0,1
30,21,9,51,0,2,0.11764705882352941,0,0,0,-4.5,0,1,0,1,-1,1,0,0.0,0,0,1
17,19,-2,36,1,2,0.11764705882352941,0,0,0,4.0,0,1,0,0,0,0,0,0.0,0,0,1
27,30,-3,57,1,2,0.11764705882352941,0,0,0,3.0,0,1,0,1,-1,1,0,0.0,0,1,0
56,14,42,70,0,3,0.17647058823529413,0,1,0,6.5,0,0,1,0,1,1,0,0.0,0,1,0
21,23,-2,44,1,3,0.17647058823529413,0,1,0,-2.0,0,0,1,1,0,2,0,0.0,0,0,1
31,34,-3,65,1,3,0.17647058823529413,0,0,0,-1.5,0,0,1,1,0,2,0,0.0,0,1,0
26,20,6,46,1,3,0.17647058823529413,0,0,1,4.0,0,0,1,2,-1,3,0,0.0,0,0,1
19,7,12,26,0,3,0.17647058823529413,0,1,0,1.5,0,0,1,1,0,2,0,0.0,0,1,0
30,17,13,47,0,3,0.17647058823529413,0,0,0,1.0,0,0,0,2,-2,2,0,0.0,0,0,1
17,44,-27,61,0,3,0.17647058823529413,0,1,0,-6.0,0,0,0,0,0,0,0,0.0,0,0,1
15,34,-19,49,0,3,0.17647058823529413,0,0,0,6.0,0,1,1,0,1,1,0,0.0,0,0,1
20,9,11,29,0,3,0.17647058823529413,0,0,0,10.0,1,0,0,1,-1,1,0,0.0,0,1,0
16,9,7,25,1,3,0.17647058823529413,0,0,0,14.0,1,0,1,0,1,1,0,0.0,0,0,1
19,37,-18,56,0,3,0.17647058823529413,0,0,0,3.0,0,1,2,1,1,3,0,0.0,0,0,1
10,22,-12,32,0,3,0.17647058823529413,0,0,0,2.5,0,1,2,1,1,3,0,0.0,0,0,1
23,14,9,37,0,3,0.17647058823529413,0,1,0,-3.0,0,1,2,1,1,3,0,0.0,0,1,0
33,7,26,40,0,3,0.17647058823529413,0,0,0,6.5,0,0,2,1,1,3,0,0.0,0,0,1
37,34,3,71,1,3,0.17647058823529413,0,1,0,4.0,0,0,2,1,1,3,0,0.0,0,0,1
19,27,-8,46,0,3,0.17647058823529413,0,0,0,1.5,0,1,1,1,0,2,0,0.0,0,0,1
14,45,-31,59,0,4,0.23529411764705882,0,1,0,3.0,0,1,1,1,0,2,0,0.0,0,0,1
41,28,13,69,0,4,0.23529411764705882,0,0,0,-5.5,0,1,1,2,-1,3,0,0.0,0,0,1
23,17,6,40,1,4,0.23529411764705882,0,0,0,3.0,0,0,2,2,0,4,0,0.0,0,1,0
38,10,28,48,0,4,0.23529411764705882,0,0,0,3.5,0,0,2,2,0,4,0,0.0,0,0,1
17,24,-7,41,1,4,0.23529411764705882,0,0,0,2.0,0,1,1,2,-1,3,0,0.0,0,0,1
17,38,-21,55,0,4,0.23529411764705882,0,1,0,-2.0,0,0,2,1,1,3,0,0.0,0,0,1
33,14,19,47,0,4,0.23529411764705882,0,0,0,13.0,1,0,2,0,2,2,0,0.0,0,0,1
14,38,-24,52,0,4,0.23529411764705882,0,0,0,-4.0,0,0,0,1,-1,1,0,0.0,0,0,1
38,17,21,55,0,4,0.23529411764705882,0,0,0,-3.0,0,1,2,1,1,3,0,0.0,0,1,0
26,21,5,47,1,4,0.23529411764705882,0,0,0,3.5,0,0,1,3,-2,4,0,0.0,0,0,1
24,27,-3,51,1,4,0.23529411764705882,0,0,0,7.5,1,1,2,0,2,2,0,0.0,0,0,1
41,17,24,58,0,4,0.23529411764705882,0,1,0,7.5,1,0,1,1,0,2,0,0.0,0,0,0
41,14,27,55,0,4,0.23529411764705882,0,0,0,-3.0,0,1,1,2,-1,3,0,0.0,0,0,1
42,10,32,52,0,5,0.29411764705882354,0,1,0,8.5,1,0,2,2,0,4,0,0.0,0,0,1
41,20,21,61,0,5,0.29411764705882354,0,0,0,8.0,1,0,2,3,-1,5,0,0.0,0,0,1
30,20,10,50,0,5,0.29411764705882354,0,0,0,4.0,0,0,2,2,0,4,0,0.0,0,0,1
20,13,7,33,1,5,0.29411764705882354,0,0,0,2.5,0,0,2,3,-1,5,0,0.0,0,0,0
14,17,-3,31,1,5,0.29411764705882354,0,0,0,4.5,0,1,3,2,1,5,0,0.0,0,1,0
31,24,7,55,1,5,0.29411764705882354,0,0,0,1.5,0,0,2,2,0,4,0,0.0,0,0,1
43,17,26,60,0,5,0.29411764705882354,0,0,0,-2.5,0,1,2,3,-1,5,0,0.0,0,0,1
28,29,-1,57,1,5,0.29411764705882354,0,0,0,-1.0,0,0,1,1,0,2,0,0.0,0,0,1
20,17,3,37,1,5,0.29411764705882354,0,0,1,5.0,0,0,3,3,0,6,0,0.0,0,1,0
22,17,5,39,1,5,0.29411764705882354,0,0,0,4.0,0,0,2,2,0,4,0,0.0,0,0,1
31,0,31,31,0,5,0.29411764705882354,0,0,0,7.0,1,0,3,1,2,4,0,0.0,0,0,1
9,17,-8,26,0,5,0.29411764705882354,0,0,0,-6.0,0,0,0,2,-2,2,0,0.0,0,0,1
34,28,6,62,1,5,0.29411764705882354,0,0,0,3.5,0,0,3,1,2,4,0,0.0,0,0,1
37,31,6,68,1,5,0.29411764705882354,0,1,1,11.0,1,0,1,1,0,2,0,0.0,0,1,0
17,27,-10,44,0,5,0.29411764705882354,0,0,0,-7.0,1,0,1,2,-1,3,0,0.0,0,0,1
28,33,-5,61,1,6,0.35294117647058826,0,1,0,-2.5,0,0,3,3,0,6,0,0.0,0,1,0
17,48,-31,65,0,6,0.35294117647058826,0,0,0,-3.5,0,0,1,3,-2,4,0,0.0,0,0,1
37,37,0,74,1,6,0.35294117647058826,0,0,1,7.0,1,1,3,3,0,6,0,0.0,0,0,1
13,27,-14,40,0,6,0.35294117647058826,0,0,0,3.5,0,1,2,2,0,4,0,0.0,0,1,0
23,30,-7,53,1,6,0.35294117647058826,0,0,0,10.0,1,1,3,4,-1,7,0,0.0,0,0,1
17,31,-14,48,0,6,0.35294117647058826,0,0,0,-10.0,1,0,1,3,-2,4,0,0.0,0,0,1
3,17,-14,20,0,6,0.35294117647058826,0,1,0,1.0,0,1,2,3,-1,5,0,0.0,0,0,1
24,27,-3,51,1,6,0.35294117647058826,0,0,0,-1.5,0,0,2,3,-1,5,0,0.0,0,0,1
16,14,2,30,1,6,0.35294117647058826,0,1,0,4.0,0,0,1,0,1,1,0,0.0,0,0,1
22,37,-15,59,0,6,0.35294117647058826,0,1,0,1.0,0,1,3,3,0,6,0,0.0,0,0,1
27,0,27,27,0,6,0.35294117647058826,0,1,0,1.0,0,0,4,3,1,7,0,0.0,0,0,1
31,10,21,41,0,6,0.35294117647058826,0,1,0,2.5,0,0,2,3,-1,5,0,0.0,0,0,1
28,31,-3,59,1,6,0.35294117647058826,0,1,0,-7.0,1,0,0,4,-4,4,0,0.0,0,0,1
30,20,10,50,0,6,0.35294117647058826,0,0,0,5.0,0,0,3,1,2,4,0,0.0,0,1,0
17,31,-14,48,0,6,0.35294117647058826,0,1,0,-3.5,0,0,1,3,-2,4,0,0.0,0,1,0
27,25,2,52,1,7,0.4117647058823529,0,1,0,9.5,1,0,4,1,3,5,0,0.0,0,0,1
13,24,-11,37,0,7,0.4117647058823529,0,0,0,-3.5,0,0,0,4,-4,4,0,0.0,0,0,1
29,7,22,36,0,7,0.4117647058823529,0,0,0,7.0,1,0,4,2,2,6,0,0.0,0,0,1
38,17,21,55,0,7,0.4117647058823529,0,0,0,6.5,0,0,4,4,0,8,0,0.0,0,0,1
27,0,27,27,0,7,0.4117647058823529,0,0,0,3.0,0,0,4,3,1,7,0,0.0,0,0,0
24,6,18,30,0,7,0.4117647058823529,0,0,0,-4.0,0,1,0,3,-3,3,0,0.0,0,0,1
20,23,-3,43,1,7,0.4117647058823529,0,1,0,3.0,0,1,5,2,3,7,0,0.0,0,0,1
14,27,-13,41,0,7,0.4117647058823529,0,0,0,3.0,0,1,3,2,1,5,0,0.0,0,0,1
17,16,1,33,1,7,0.4117647058823529,0,0,0,7.0,1,0,3,2,1,5,0,0.0,0,0,1
24,23,1,47,1,7,0.4117647058823529,0,0,0,1.5,0,0,4,2,2,6,0,0.0,0,1,0
31,21,10,52,0,7,0.4117647058823529,0,1,0,5.0,0,0,5,3,2,8,0,0.0,0,1,0
28,26,2,54,1,7,0.4117647058823529,0,1,0,-7.0,1,1,1,3,-2,4,0,0.0,0,1,0
42,17,25,59,0,7,0.4117647058823529,0,0,0,7.0,1,0,4,4,0,8,0,0.0,0,0,1
19,17,2,36,1,7,0.4117647058823529,0,0,0,6.0,0,0,1,2,-1,3,0,0.0,0,0,1
30,23,7,53,1,7,0.4117647058823529,0,0,0,3.0,0,0,3,3,0,6,0,0.0,0,0,1
35,21,14,56,0,8,0.47058823529411764,0,1,0,9.0,1,0,5,5,0,10,0,0.0,0,0,1
27,24,3,51,1,8,0.47058823529411764,0,1,0,-2.5,0,1,3,5,-2,8,0,0.0,0,0,1
