R_fighter,B_fighter,Winner,date,R_odds,B_odds,R_wins,R_losses,R_draw,B_wins,B_losses,B_draw,R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_Stance,B_Stance,weight_class,title_bout,win_by,last_round,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_pct,B_avg_TD_pct,event
Nick Diaz,Ciryl Gane,Ciryl Gane,2019-11-30,-200,170,19,1,0,24,5,0,25,35,172,177,182,177,Southpaw,Switch,Welterweight,False,Submission,1,58.252774388290156,30.672311245886927,0.8894548023302353,3.7389977137837525,56.620148947045195,24.747858791503113,UFC 303
Daniel Cormier,Ciryl Gane,Ciryl Gane,2017-05-15,150,-180,20,4,0,16,1,0,36,34,177,180,175,182,Switch,Southpaw,Middleweight,False,Submission,5,62.47853524620613,38.80200618046665,2.2354037559638704,0.5132929060300149,67.23496614504526,27.646337905318603,UFC 201
Islam Makhachev,Daniel Cormier,Islam Makhachev,2014-10-31,-200,170,25,3,0,11,4,0,37,37,191,190,197,192,Switch,Southpaw,Light Heavyweight,False,Decision - Unanimous,1,38.78221118551855,54.794755095752556,2.8943190846962032,2.365830792270261,20.58194345263003,46.102693101911186,UFC 271
Islam Makhachev,Ciryl Gane,Islam Makhachev,2017-11-21,150,-180,18,5,0,19,1,0,34,38,187,170,196,198,Orthodox,Switch,Heavyweight,False,Decision - Unanimous,5,42.105984840438055,57.04620853096985,0.07618518917990524,2.24376589183226,32.82578884543877,58.1736646050048,UFC 252
Colby Covington,Islam Makhachev,Islam Makhachev,2021-05-05,-200,170,13,5,0,19,2,0,25,28,180,171,185,185,Southpaw,Switch,Welterweight,False,KO/TKO,3,49.6866635728407,57.684743221625695,3.6206673660405633,3.477598085145209,61.626814816586545,54.30399045377911,UFC 248
Francis Ngannou,Jorge Masvidal,Francis Ngannou,2016-12-23,150,-180,22,2,0,12,2,0,35,36,189,170,208,202,Southpaw,Switch,Heavyweight,False,KO/TKO,3,60.669065846692305,38.0050959190942,2.420379051947065,1.7757274811294792,53.44601455514469,68.40858972292932,UFC 267
Aljamain Sterling,Islam Makhachev,Islam Makhachev,2018-12-14,150,-180,23,1,0,24,5,0,32,30,170,175,171,191,Switch,Switch,Middleweight,False,KO/TKO,4,51.746965929957405,64.0411238571693,1.792100641877611,3.356647968559768,27.521259664467443,29.855664014371474,UFC 201
Charles Oliveira,Jorge Masvidal,Charles Oliveira,2015-05-17,-200,170,22,4,0,23,5,0,30,26,170,185,209,195,Southpaw,Orthodox,Light Heavyweight,False,KO/TKO,3,31.223433626920528,43.56004875770884,1.5933863558863308,0.9550834708002527,48.01294461814832,21.860538778096178,UFC 221
Alex Pereira,Aljamain Sterling,Alex Pereira,2015-05-02,150,-180,15,1,0,21,2,0,32,35,178,178,172,180,Orthodox,Southpaw,Middleweight,False,Decision - Split,3,37.645734887576324,57.75831320167147,0.02619639896270609,1.2717732460559685,39.07772044698673,36.676047779602044,UFC 244
Daniel Cormier,Belal Muhammad,Belal Muhammad,2018-06-17,-200,170,18,3,0,13,4,0,27,36,178,190,206,189,Switch,Switch,Light Heavyweight,False,KO/TKO,2,57.60488787282047,40.74839779409153,3.0738692287108034,1.034650017165332,26.75531493640124,61.306550717742695,UFC 226
Nick Diaz,Anderson Silva,Anderson Silva,2017-05-02,-200,170,13,0,0,25,1,0,36,34,182,171,170,177,Orthodox,Southpaw,Lightweight,False,Decision - Unanimous,3,30.105530927926107,54.62636616949048,2.565866998138805,1.2866495011308126,43.84546785858866,41.11496351948123,UFC 274
Khabib Nurmagomedov,Kamaru Usman,Khabib Nurmagomedov,2016-01-30,-200,170,11,2,0,11,4,0,28,27,194,190,195,196,Switch,Switch,Welterweight,False,KO/TKO,5,51.134730833860026,38.96174481856907,1.8676229136360876,0.24097945641809027,38.500686132580626,30.522424674609965,UFC 248
Gilbert Burns,Daniel Cormier,Daniel Cormier,2022-12-24,-200,170,12,3,0,14,5,0,28,30,178,185,196,176,Southpaw,Switch,Lightweight,False,Decision - Unanimous,5,58.38704492824706,47.29790118153021,2.535209085875785,0.9509196998986655,63.61230027883117,54.417690527516335,UFC 208
Daniel Cormier,Islam Makhachev,Daniel Cormier,2017-09-10,-200,170,24,1,0,23,0,0,36,25,180,193,180,181,Orthodox,Orthodox,Heavyweight,False,Submission,4,47.22267223631495,31.65307350878365,1.1814663903770164,3.8280454692539228,69.76555687856636,32.42015211064958,UFC 227
Nate Diaz,Gilbert Burns,Gilbert Burns,2018-02-28,-200,170,17,4,0,18,1,0,35,26,189,183,171,170,Switch,Southpaw,Welterweight,False,Decision - Split,4,51.40454472105796,64.03030782026329,2.988409467782497,0.9536939675166303,63.367948275729454,29.69454684708945,UFC 307
Conor McGregor,Dustin Poirier,Dustin Poirier,2019-01-19,150,-180,12,1,0,12,0,0,30,32,174,185,170,187,Switch,Orthodox,Middleweight,False,KO/TKO,2,60.044749566938776,46.91007348133831,1.3312839334482076,1.3059891171938496,26.858405558367387,38.728531687825445,UFC 256
Colby Covington,Tony Ferguson,Colby Covington,2020-12-04,-200,170,16,3,0,20,2,0,37,27,183,193,189,182,Switch,Southpaw,Middleweight,False,KO/TKO,2,42.91143586612455,38.02043754899885,1.1342411155199534,1.1532974185514773,37.05812894540773,51.75973343724124,UFC 231
Daniel Cormier,Justin Gaethje,Daniel Cormier,2015-07-10,150,-180,19,3,0,25,1,0,26,25,171,170,180,175,Orthodox,Southpaw,Light Heavyweight,False,Decision - Split,1,51.27677436426631,34.288674971938924,1.6153617536837959,1.3741794760858639,65.67714214989877,41.29522541174382,UFC 206
Dustin Poirier,Justin Gaethje,Dustin Poirier,2019-11-16,150,-180,16,3,0,18,1,0,26,25,177,184,184,207,Switch,Orthodox,Welterweight,False,Decision - Unanimous,3,40.31337323747425,58.765535176489784,1.2966242765750153,0.27950512797197513,58.799669730827226,53.36116648486293,UFC 306
Nick Diaz,Daniel Cormier,Daniel Cormier,2021-08-08,150,-180,19,5,0,13,0,0,32,33,173,171,173,205,Southpaw,Southpaw,Heavyweight,False,Decision - Split,5,49.15113943795776,33.49913941267025,2.3064056612304533,2.2554927799713185,63.59687500299749,52.468300337868946,UFC 227
