fight_id,R_fighter,R_nickname,B_fighter,B_nickname,Winner,date,year,R_odds,B_odds,R_wins,R_losses,R_draw,B_wins,B_losses,B_draw,R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_Stance,B_Stance,weight_class,title_bout,win_by,last_round,last_round_time,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_pct,B_avg_TD_pct,R_current_win_streak,B_current_win_streak,event,location
ufc_fight_00000,Francis Ngannou,The Predator,Alexa Grasso,,Francis Ngannou,2018-11-10,2018,-250,200,18,8,0,13,6,0,30,25,199,181,174,175,Orthodox,Orthodox,Heavyweight,True,KO/TKO,1,0:39,42.92,51.15,0.55,0.56,63.07,46.66,9,2,UFC Fight Night 216,Canada
ufc_fight_00001,Gilbert Burns,Durinho,Jorge Masvidal,Gamebred,Jorge Masvidal,2022-01-27,2022,320,-400,15,1,0,8,3,1,29,23,194,181,173,174,Orthodox,Orthodox,Welterweight,False,Submission,1,3:43,54.87,60.93,0.94,4.65,43.95,20.39,3,12,UFC 156,Australia
ufc_fight_00002,Chan Sung Jung,The Korean Zombie,Valentina Shevchenko,Bullet,Valentina Shevchenko,2018-12-13,2018,-200,170,24,0,0,18,0,0,35,24,173,182,194,199,Switch,Southpaw,Featherweight,False,Submission,1,4:27,61.36,61.07,0.45,2.8,44.16,73.13,10,0,UFC 186,Abu Dhabi
ufc_fight_00003,Georges St-Pierre,GSP,Robbie Lawler,Ruthless,Robbie Lawler,2017-07-05,2017,200,-250,9,5,0,15,0,1,38,25,171,169,202,211,Orthodox,Southpaw,Welterweight,False,KO/TKO,2,3:31,38.25,57.75,1.59,0.9,67.74,51.27,7,4,UFC Fight Night 170,New York
ufc_fight_00004,Nick Diaz,,Shavkat Rakhmonov,Nomad,Nick Diaz,2023-04-16,2023,150,-180,12,5,0,21,4,0,37,33,174,198,175,180,Southpaw,Switch,Welterweight,True,KO/TKO,1,4:52,46.66,60.99,4.58,0.19,13.75,23.65,5,2,UFC 157,Brazil
ufc_fight_00005,Beneil Dariush,,Eddie Alvarez,,Beneil Dariush,2020-03-28,2020,-200,170,26,4,0,28,6,0,35,35,185,179,168,166,Orthodox,Orthodox,Lightweight,False,Decision - Unanimous,3,5:00,60.81,54.43,0.59,3.17,73.7,27.98,10,0,UFC 251,Abu Dhabi
ufc_fight_00006,Yoel Romero,Soldier of God,Chris Weidman,The All-American,Chris Weidman,2014-08-06,2014,-110,-110,25,1,0,16,4,0,31,32,178,197,198,199,Orthodox,Orthodox,Middleweight,False,Decision - Unanimous,3,5:00,66.29,59.41,0.18,3.37,58.01,30.49,11,7,UFC Fight Night 208,New York
ufc_fight_00007,Shavkat Rakhmonov,Nomad,Vicente Luque,The Silent Assassin,Shavkat Rakhmonov,2014-10-19,2014,105,-105,15,0,0,8,8,0,23,37,186,184,166,194,Orthodox,Orthodox,Welterweight,True,KO/TKO,1,3:21,67.96,51.61,3.26,0.22,47.02,33.21,9,0,UFC Fight Night 220,Australia
ufc_fight_00008,Stephen Thompson,Wonderboy,Vicente Luque,The Silent Assassin,Vicente Luque,2023-12-19,2023,-400,320,17,5,1,26,7,0,33,25,196,170,170,192,Orthodox,Switch,Welterweight,False,Decision - Unanimous,3,5:00,69.63,48.71,2.36,1.86,69.5,45.03,0,4,UFC 244,New York
ufc_fight_00009,Song Yadong,,Merab Dvalishvili,The Machine,Song Yadong,2019-09-08,2019,250,-300,21,1,0,20,3,1,38,26,178,185,183,180,Orthodox,Southpaw,Bantamweight,False,KO/TKO,2,0:10,51.55,45.05,3.88,3.37,27.21,26.55,10,3,UFC 293,London
ufc_fight_00010,Weili Zhang,Magnum,Carla Esparza,Cookie Monster,Carla Esparza,2017-03-09,2017,-400,320,20,0,1,16,7,0,30,29,183,175,184,169,Southpaw,Orthodox,Women's Strawweight,False,Submission,1,2:37,30.84,44.81,2.91,0.82,26.02,69.41,2,8,UFC Fight Night 214,Brazil
ufc_fight_00011,Paul Felder,The Irish Dragon,Holly Holm,The Preacher's Daughter,Paul Felder,2021-08-23,2021,-105,105,27,6,0,15,7,0,39,32,196,172,197,185,Orthodox,Orthodox,Lightweight,True,Submission,4,2:11,30.42,43.69,3.98,1.39,21.54,14.82,0,7,UFC Fight Night 137,Australia
ufc_fight_00012,Dan Hooker,The Hangman,Arman Tsarukyan,,Arman Tsarukyan,2014-10-09,2014,-180,150,20,5,0,28,6,0,27,36,188,199,177,187,Southpaw,Orthodox,Lightweight,False,Decision - Split,3,5:00,49.58,34.08,0.53,4.56,62.72,44.65,12,11,UFC 190,Las Vegas
