name,category,status,fit_time,transform_time,total_time,features,accuracy,error
Nominative Analysis,Core,SUCCESS,0.6972947120666504,0.07780814170837402,0.7751028537750244,51,0.508,
Self Perception,Core,ERROR,0.0,0.0,0.0,0,0.0,"Found input variables with inconsistent numbers of samples: [1, 1000]"
Narrative Potential,Core,SUCCESS,0.5122191905975342,0.038224220275878906,0.5504434108734131,35,0.516,
Linguistic Patterns,Core,SUCCESS,1.2243659496307373,0.24443292617797852,1.4687988758087158,36,0.516,
Ensemble Narrative,Core,SUCCESS,0.2731478214263916,0.020413875579833984,0.2935616970062256,25,0.54,
Relational Value,Core,SUCCESS,4.586684226989746,1.4006011486053467,5.987285375595093,17,0.52,
Emotional Resonance,Emotional,SUCCESS,0.514641284942627,0.10311508178710938,0.6177563667297363,34,0.516,
Authenticity,Emotional,SUCCESS,0.2719607353210449,0.052613019943237305,0.3245737552642822,30,0.532,
Conflict Tension,Emotional,SUCCESS,0.272737979888916,0.05291390419006348,0.3256518840789795,28,0.532,
Suspense Mystery,Emotional,SUCCESS,0.2775609493255615,0.03408312797546387,0.3116440773010254,25,0.516,
Framing,Structural,SUCCESS,0.1509251594543457,0.018210172653198242,0.16913533210754395,12,0.516,
Optics,Structural,SUCCESS,0.2019498348236084,0.033628225326538086,0.23557806015014648,15,0.508,
Phonetic,Nominative,SUCCESS,0.31830501556396484,0.046090126037597656,0.3643951416015625,91,0.492,
Social Status,Nominative,SUCCESS,0.16696906089782715,0.029709815979003906,0.19667887687683105,20,0.52,
Universal Nominative,Nominative,SUCCESS,1.8336808681488037,0.35025715827941895,2.1839380264282227,116,0.516,
Hierarchical Nominative,Nominative,SUCCESS,0.2348620891571045,0.03957724571228027,0.27443933486938477,23,0.508,
Nominative Richness,Nominative,SUCCESS,0.7117528915405273,0.05509495735168457,0.7668478488922119,15,0.548,
Information Theory,Advanced,SUCCESS,0.5500710010528564,0.10824704170227051,0.658318042755127,25,0.496,
Namespace Ecology,Advanced,SUCCESS,0.07136297225952148,0.02527308464050293,0.09663605690002441,35,0.516,
Cognitive Fluency,Advanced,SUCCESS,0.012105941772460938,0.002835988998413086,0.014941930770874023,15,0.516,
Discoverability,Advanced,SUCCESS,0.22766590118408203,0.04479503631591797,0.2724609375,12,0.516,
Multi-Scale,Advanced,SUCCESS,0.034972190856933594,0.01027369499206543,0.04524588584899902,40,0.524,
Quantitative,Advanced,SUCCESS,0.07192420959472656,0.010807037353515625,0.08273124694824219,10,0.516,
Coupling Strength (κ),Theory,SUCCESS,0.6187329292297363,0.10148191452026367,0.72021484375,12,0.516,
Narrative Mass (μ),Theory,SUCCESS,1.0713679790496826,0.11525201797485352,1.1866199970245361,10,0.516,
Gravitational Features (φ & ة),Theory,SUCCESS,1.6260862350463867,0.031629085540771484,1.6577153205871582,20,0.516,
Awareness Resistance (θ),Theory,SUCCESS,1.7147328853607178,0.20922398567199707,1.9239568710327148,15,0.568,
Fundamental Constraints (λ),Theory,SUCCESS,0.0050296783447265625,0.0012841224670410156,0.006313800811767578,28,0.0,
Cultural Context,Contextual,SUCCESS,0.1872560977935791,0.05705690383911133,0.24431300163269043,34,0.508,
Competitive Context,Contextual,SUCCESS,13.539628744125366,3.116960048675537,16.656588792800903,12,0.54,
Anticipatory Communication,Contextual,SUCCESS,0.0727839469909668,0.013751029968261719,0.08653497695922852,25,0.472,
Expertise Authority,Contextual,SUCCESS,0.31623077392578125,0.05954694747924805,0.3757777214050293,32,0.516,
Universal Themes,Universal/Meta,SUCCESS,0.001007080078125,0.0002110004425048828,0.0012180805206298828,20,0.0,
Universal Structural,Universal/Meta,ERROR,0.0,0.0,0.0,0,0.0,Input X must be list or array of texts
Universal Hybrid,Universal/Meta,ERROR,0.0,0.0,0.0,0,0.0,"Found input variables with inconsistent numbers of samples: [1, 1000]"
Cross-Domain Embedding,Universal/Meta,ERROR,0.0,0.0,0.0,0,0.0,Input must be dict with 'genome_features' or ndarray
Meta Narrative,Universal/Meta,SUCCESS,0.000659942626953125,0.00013589859008789062,0.0007958412170410156,6,0.516,
Meta Feature Interaction,Universal/Meta,ERROR,0.0,0.0,0.0,0,0.0,"Input X must be 2D array, got shape (1000,)"
Ensemble Meta,Universal/Meta,ERROR,0.0,0.0,0.0,0,0.0,No transformers provided
Temporal Evolution,Temporal,SUCCESS,0.16484308242797852,0.020811080932617188,0.1856541633605957,30,0.508,
Temporal Momentum Enhanced,Temporal,SUCCESS,0.0024099349975585938,0.0005559921264648438,0.0029659271240234375,10,0.516,
Temporal Narrative Context,Temporal,SUCCESS,0.14699196815490723,0.03995013236999512,0.18694210052490234,50,0.516,
Temporal Derivative,Temporal,ERROR,0.0,0.0,0.0,0,0.0,Input must be dict with 'feature_history' and 'timestamps'
Pacing & Rhythm,Temporal-Specialized,SUCCESS,0.021574974060058594,0.002438783645629883,0.024013757705688477,50,0.516,
Duration Effects,Temporal-Specialized,SUCCESS,0.14119911193847656,0.027152061462402344,0.1683511734008789,45,0.516,
Cross-Temporal Isomorphism,Temporal-Specialized,SUCCESS,0.013096809387207031,0.0021409988403320312,0.015237808227539062,40,0.516,
Temporal Compression,Temporal-Specialized,SUCCESS,0.27104997634887695,0.02523183822631836,0.2962818145751953,58,0.516,
Statistical,Pattern/Baseline,SUCCESS,0.07294225692749023,0.011607170104980469,0.0845494270324707,1000,0.504,
Context Pattern,Pattern/Baseline,SUCCESS,0.22671818733215332,0.02938222885131836,0.2561004161834717,60,0.0,
